model_type,current_condition,selected_debate_id,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,use_distinct_agents
consensus,heterogeneous,22,148,1,2,2,0.7222222222222218,0.9166666666666666,0.0,0.6111111111111116,0.11111111111111167,0.7893518518518515,0.0,0.5732653595958891,0.8611111111111116,0.9583333333333334,0.0,0.5,0.05555555555555499,0.8622685185185183,0.475,-0.21608649225596244,0.2890031589226292,0.2878457515152225,0.3850679737374443,0.5732653595958891,0.07326535959588909,0.5177098040403341,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,2628232465145449500.0,55,false
consensus,heterogeneous,22,149,0,2,2,0.7222222222222218,0.6666666666666666,0.625,0.944444444444445,0.3333333333333333,0.5300925925925924,0.0,0.557829437901863,0.8333333333333334,0.625,0.625,0.944444444444445,0.3333333333333333,0.5474537037037036,0.6722222222222224,0.02773684530927056,0.0103757341981594,0.27550389543147036,0.06717056209813699,0.06717056209813699,0.38661500654258196,0.2244961045685297,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,2628232465145449500.0,55,false
consensus,heterogeneous,22,150,0,2,2,0.5,0.16666666666666666,0.7083333333333334,0.7222222222222218,0.555555555555555,0.3356481481481483,0.0,0.5462524966313433,0.5,0.4583333333333333,0.7916666666666666,0.7222222222222218,0.5,0.40393518518518495,0.5944444444444443,0.21060434848319504,0.1423173114461584,0.04625249663134334,0.08791916329801003,0.2454141700353233,0.17596972559087842,0.04625249663134334,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,2628232465145449500.0,55,false
consensus,heterogeneous,22,147,1,2,2,0.805555555555555,0.5416666666666666,0.5833333333333334,0.6111111111111116,0.44444444444444503,0.5636574074074071,0.0,0.6022056946926436,0.7777777777777782,0.625,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5868055555555558,0.5972222222222223,0.03854828728523652,0.01540013913708782,0.1755720830851346,0.02279430530735638,0.01887236135931025,0.064460971974023,0.2688723613593103,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,1678023918209180670.0,50,false
consensus,heterogeneous,22,148,1,2,2,0.7222222222222218,0.9166666666666666,0.0,0.6111111111111116,0.11111111111111167,0.7893518518518515,0.0,0.619571748140513,0.8611111111111116,0.9583333333333334,0.0,0.5,0.05555555555555499,0.8622685185185183,0.475,-0.16978010371133856,0.2426967703780053,0.24153936297059864,0.3387615851928204,0.619571748140513,0.11957174814051297,0.5640161925849579,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,1678023918209180670.0,50,false
consensus,heterogeneous,22,149,0,2,2,0.7222222222222218,0.6666666666666666,0.625,0.944444444444445,0.3333333333333333,0.5300925925925924,0.0,0.5996230508465502,0.8333333333333334,0.625,0.625,0.944444444444445,0.3333333333333333,0.5474537037037036,0.6722222222222224,0.06953045825395776,0.0521693471428466,0.23371028248678316,0.02537694915344979,0.02537694915344979,0.34482139359789477,0.2662897175132169,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,1678023918209180670.0,50,false
consensus,heterogeneous,22,150,0,2,2,0.5,0.16666666666666666,0.7083333333333334,0.7222222222222218,0.555555555555555,0.3356481481481483,0.0,0.5846615278760782,0.5,0.4583333333333333,0.7916666666666666,0.7222222222222218,0.5,0.40393518518518495,0.5944444444444443,0.24901337972792986,0.18072634269089322,0.08466152787607817,0.12632819454274485,0.20700513879058846,0.1375606943461436,0.08466152787607817,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,1678023918209180670.0,50,false
consensus,heterogeneous,22,147,1,2,2,0.805555555555555,0.5416666666666666,0.5833333333333334,0.6111111111111116,0.44444444444444503,0.5636574074074071,0.0,0.5629091663182547,0.7777777777777782,0.625,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5868055555555558,0.5972222222222223,-0.00074824108915239,0.02389638923730109,0.21486861145952352,0.06209083368174528,0.02042416701507865,0.10375750034841191,0.2295758329849214,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,882452717080495100.0,50,false
consensus,heterogeneous,22,148,1,2,2,0.7222222222222218,0.9166666666666666,0.0,0.6111111111111116,0.11111111111111167,0.7893518518518515,0.0,0.580275219766124,0.8611111111111116,0.9583333333333334,0.0,0.5,0.05555555555555499,0.8622685185185183,0.475,-0.20907663208572758,0.2819932987523943,0.28083589134498765,0.3780581135672094,0.580275219766124,0.08027521976612395,0.5247196642105689,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,882452717080495100.0,50,false
consensus,heterogeneous,22,149,0,2,2,0.7222222222222218,0.6666666666666666,0.625,0.944444444444445,0.3333333333333333,0.5300925925925924,0.0,0.5603265224721613,0.8333333333333334,0.625,0.625,0.944444444444445,0.3333333333333333,0.5474537037037036,0.6722222222222224,0.03023392987956885,0.01287281876845769,0.27300681086117207,0.0646734775278387,0.0646734775278387,0.38411792197228367,0.226993189138828,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,882452717080495100.0,50,false
consensus,heterogeneous,22,150,0,2,2,0.5,0.16666666666666666,0.7083333333333334,0.7222222222222218,0.555555555555555,0.3356481481481483,0.0,0.5453649995016894,0.5,0.4583333333333333,0.7916666666666666,0.7222222222222218,0.5,0.40393518518518495,0.5944444444444443,0.20971685135354107,0.14142981431650442,0.04536499950168937,0.08703166616835606,0.24630166716497726,0.1768572227205324,0.04536499950168937,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,882452717080495100.0,50,false
consensus,heterogeneous,22,147,1,2,2,0.805555555555555,0.5416666666666666,0.5833333333333334,0.6111111111111116,0.44444444444444503,0.5636574074074071,0.0,0.5623553333240846,0.7777777777777782,0.625,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5868055555555558,0.5972222222222223,-0.0013020740833225,0.0244502222314712,0.21542244445369363,0.0626446666759154,0.02097800000924877,0.10431133334258202,0.2290219999907513,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,6604969221076703200.0,55,false
