model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,homogeneous,41,0,4,0.5,0.8,0.0,0.3,false,0.05,0.1,0.0,0.05,5956375827241809900.0,15,true,0.0,0.06531877560364258,0.00000004824164446,0.00000003054631323,1,1,-0.8,2.0
consensus,homogeneous,41,0,4,0.5,0.8,0.0,0.3,false,0.05,0.1,0.0,0.05,4898716312282833900.0,15,true,0.0,0.06525615673537558,0.00000004824164446,0.00000003054631323,1,1,-0.8,2.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,8151887465685377000.0,20,true,0.0,0.04622539637134963,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,3165118706031121400.0,20,true,0.0,0.04405202077849425,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,5108037849753243600.0,20,true,0.0,0.04386525443053692,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,599260260783050750.0,20,true,0.0,0.04520811435570884,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,5576601392690618400.0,20,true,0.0,0.04331811457556413,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,7500710846097874900.0,20,true,0.0,0.04483927289990268,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,3413911939801646100.0,20,true,0.0,0.04398800396801148,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,3794282318118145000.0,20,true,0.0,0.044992502441725,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,6603758411652679700.0,20,true,0.0,0.04336100447226199,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,7179043909987328000.0,20,true,0.0,0.04537327432416512,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,4210327001835109400.0,20,true,0.0,0.04289676305390892,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,4432464224430073900.0,20,true,0.0,0.04314153970337431,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,5956375827241809900.0,20,true,0.0,0.04661351905541149,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,4725690850412381200.0,20,true,0.0,0.04565335869035859,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,homogeneous,33,0,5,0.3,0.4,0.6,0.2,false,0.1,0.0,0.3,0.2,4898716312282833900.0,20,true,0.0,0.04407804553788144,0.00000260791234582,0.00000142399923896,1,3,0.19999999999999996,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,599260260783050750.0,25,true,0.0,0.09607734974890644,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,8151887465685377000.0,25,true,0.0,0.09114679577522244,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,3165118706031121400.0,25,true,0.0,0.07564442928334522,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,5108037849753243600.0,25,true,0.0,0.07572831606004486,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,3794282318118145000.0,25,true,0.0,0.09803768134786624,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,3413911939801646100.0,25,true,0.0,0.07153763820030205,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,5576601392690618400.0,25,true,0.0,0.07259233815436143,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,7500710846097874900.0,25,true,0.0,0.07114090251096945,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
consensus,heterogeneous,16,2,3,0.3,0.6,0.6,0.3,false,0.0,0.2,0.2,0.05,6603758411652679700.0,25,true,0.0,0.09148803833798853,0.00000193528291594,0.0000015239883501,1,3,0.0,0.0
