model_type,current_condition,selected_debate_id,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,homophily_strength,convergence_cycle,use_distinct_agents
clustering,heterogeneous,41,200,1,1,2,0.8611111111111116,0.7916666666666666,0.2916666666666667,0.6111111111111116,0.3333333333333333,0.7071759259259259,0.0,0.491268144682453,0.8888888888888884,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6979166666666666,0.6027777777777776,-0.21590778124347293,0.20664852198421363,0.3976207442064354,0.30039852198421363,0.15793481134911969,0.17539852198421363,0.15793481134911969,0.3,0.6212185835013789,0.5663382473183769,0.1697437380757823,0.3,0.4,0.5,0.1,7240713591891685400.0,0.3,25,true
clustering,heterogeneous,41,200,1,1,2,0.8611111111111116,0.7916666666666666,0.2916666666666667,0.6111111111111116,0.3333333333333333,0.7071759259259259,0.0,0.5408708192051607,0.8888888888888884,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6979166666666666,0.6027777777777776,-0.16630510672076526,0.15704584746150596,0.3480180696837277,0.25079584746150596,0.20753748587182735,0.12579584746150596,0.20753748587182735,0.3,0.6212185835013789,0.5663382473183769,0.1697437380757823,0.3,0.4,0.5,0.1,6905470370856337400.0,0.3,25,true
clustering,heterogeneous,41,201,0,1,2,0.6111111111111116,0.5416666666666666,0.75,1.0,0.555555555555555,0.40393518518518534,0.0,0.48683532957355635,0.6111111111111116,0.5833333333333334,0.375,1.0,0.6666666666666666,0.4583333333333334,0.6472222222222224,0.08290014438837101,0.02850199624022293,0.12427578153755525,0.09649800375977702,0.11183532957355635,0.5131646704264436,0.17983133709311028,0.3,0.37525596400942174,0.6659259566295833,0.08806287733795257,0.3,0.4,0.5,0.1,7240713591891685400.0,0.3,25,true
clustering,heterogeneous,41,200,1,1,2,0.8611111111111116,0.7916666666666666,0.2916666666666667,0.6111111111111116,0.3333333333333333,0.7071759259259259,0.0,0.5725253758198401,0.8888888888888884,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6979166666666666,0.6027777777777776,-0.13465055010608584,0.12539129084682654,0.3163635130690483,0.21914129084682654,0.23919204248650677,0.09414129084682654,0.23919204248650677,0.3,0.6212185835013789,0.5663382473183769,0.1697437380757823,0.3,0.4,0.5,0.1,7043372089166577700.0,0.3,25,true
clustering,heterogeneous,41,202,0,1,2,0.44444444444444503,0.6666666666666666,0.5,0.944444444444445,0.38888888888888834,0.4722222222222223,0.0,0.48783355893013997,0.555555555555555,0.8333333333333334,0.5416666666666666,0.944444444444445,0.7222222222222218,0.4791666666666666,0.7194444444444443,0.01561133670791764,0.00866689226347339,0.06772199662541506,0.3454997744031934,0.05383310773652666,0.456610885514305,0.2343886632920818,0.3,0.3042545933905637,0.44488935304406363,0.09733655580515983,0.3,0.4,0.5,0.1,7240713591891685400.0,0.3,25,true
clustering,heterogeneous,41,200,1,1,2,0.8611111111111116,0.7916666666666666,0.2916666666666667,0.6111111111111116,0.3333333333333333,0.7071759259259259,0.0,0.4872065051231125,0.8888888888888884,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6979166666666666,0.6027777777777776,-0.21996942080281345,0.21071016154355415,0.4016823837657759,0.30446016154355415,0.15387317178977916,0.17946016154355415,0.15387317178977916,0.3,0.6212185835013789,0.5663382473183769,0.1697437380757823,0.3,0.4,0.5,0.1,4398895106259038200.0,0.3,25,true
clustering,heterogeneous,41,200,1,1,2,0.8611111111111116,0.7916666666666666,0.2916666666666667,0.6111111111111116,0.3333333333333333,0.7071759259259259,0.0,0.5135773648933113,0.8888888888888884,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6979166666666666,0.6027777777777776,-0.19359856103261464,0.18433930177335534,0.3753115239955771,0.27808930177335534,0.18024403155997798,0.15308930177335534,0.18024403155997798,0.3,0.6212185835013789,0.5663382473183769,0.1697437380757823,0.3,0.4,0.5,0.1,8803618445054126100.0,0.3,25,true
clustering,heterogeneous,41,200,1,1,2,0.8611111111111116,0.7916666666666666,0.2916666666666667,0.6111111111111116,0.3333333333333333,0.7071759259259259,0.0,0.5873240410010576,0.8888888888888884,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6979166666666666,0.6027777777777776,-0.11985188492486831,0.11059262566560901,0.3015648478878308,0.204342625665609,0.2539907076677243,0.07934262566560901,0.2539907076677243,0.3,0.6212185835013789,0.5663382473183769,0.1697437380757823,0.3,0.4,0.5,0.1,4692690466958798800.0,0.3,25,true
clustering,heterogeneous,41,200,1,1,2,0.8611111111111116,0.7916666666666666,0.2916666666666667,0.6111111111111116,0.3333333333333333,0.7071759259259259,0.0,0.48915804248767025,0.8888888888888884,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6979166666666666,0.6027777777777776,-0.21801788343825568,0.20875862417899638,0.39973084640121814,0.3025086241789964,0.15582470915433694,0.17750862417899638,0.15582470915433694,0.3,0.6212185835013789,0.5663382473183769,0.1697437380757823,0.3,0.4,0.5,0.1,1841142524168585220.0,0.3,25,true
clustering,heterogeneous,41,200,1,1,2,0.8611111111111116,0.7916666666666666,0.2916666666666667,0.6111111111111116,0.3333333333333333,0.7071759259259259,0.0,0.5465770750316875,0.8888888888888884,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6979166666666666,0.6027777777777776,-0.16059885089423842,0.15133959163497912,0.3423118138572009,0.24508959163497912,0.2132437416983542,0.12008959163497912,0.2132437416983542,0.3,0.6212185835013789,0.5663382473183769,0.1697437380757823,0.3,0.4,0.5,0.1,7128893484183252000.0,0.3,25,true
clustering,heterogeneous,41,201,0,1,2,0.6111111111111116,0.5416666666666666,0.75,1.0,0.555555555555555,0.40393518518518534,0.0,0.5364380040962641,0.6111111111111116,0.5833333333333334,0.375,1.0,0.6666666666666666,0.4583333333333334,0.6472222222222224,0.13250281891107873,0.07810467076293065,0.07467310701484753,0.04689532923706929,0.16143800409626408,0.4635619959037359,0.13022866257040255,0.3,0.37525596400942174,0.6659259566295833,0.08806287733795257,0.3,0.4,0.5,0.1,6905470370856337400.0,0.3,25,true
clustering,heterogeneous,41,201,0,1,2,0.6111111111111116,0.5416666666666666,0.75,1.0,0.555555555555555,0.40393518518518534,0.0,0.5091445497844147,0.6111111111111116,0.5833333333333334,0.375,1.0,0.6666666666666666,0.4583333333333334,0.6472222222222224,0.10520936459922936,0.05081121645108128,0.1019665613266969,0.07418878354891867,0.1341445497844147,0.4908554502155853,0.15752211688225193,0.3,0.37525596400942174,0.6659259566295833,0.08806287733795257,0.3,0.4,0.5,0.1,8803618445054126100.0,0.3,25,true
