model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs,homophily_strength
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,6905470370856337400.0,20,true,0.0,0.07312924013993012,0.00000102566393269,0.00000081244902903,1,3,-0.2,0.0,0.3
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,4286360386944651300.0,15,true,0.0,0.07542205987403063,0.00000766239885164,0.00000448476123008,1,3,-0.2,0.0,0.3
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,5702577027890589700.0,20,true,0.0,0.07721962881183708,0.00000251250950063,0.0000023695239791,1,3,-0.2,0.0,0.3
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,109591146466576384.0,15,true,0.0,0.07533452584892979,0.00000677857237903,0.00000444547482213,1,3,-0.2,0.0,0.3
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,4342572612484808700.0,20,true,0.0,0.07256777857577457,0.0000025578235382,0.00000202534254695,1,3,-0.2,0.0,0.3
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,1841142524168585220.0,20,true,0.0,0.07754387684753418,0.00000271016261162,0.000002799808836,1,3,-0.2,0.0,0.3
clustering,heterogeneous,1,3,3,0.1,0.3,0.2,0.1,true,0.0,0.3,0.1,0.05,7128893484183252000.0,65,true,0.0,0.16609550169470078,0.00013443219407303,0.00009935335011163,1,3,-0.09999999999999998,0.0,0.5
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,4398895106259038200.0,20,true,0.0,0.07212392138883215,0.00000174077830646,0.00000144996045244,1,3,-0.2,0.0,0.3
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,7128893484183252000.0,20,true,0.0,0.0813147165536256,0.00000297864276063,0.00000220353578294,1,3,-0.2,0.0,0.3
clustering,homogeneous,50,0,6,0.4,0.2,0.0,0.3,true,0.1,0.0,0.1,0.05,7043372089166577700.0,20,true,0.0,0.10082459850738583,0.00001176529259898,0.00001444022542418,1,3,-0.2,0.0,0.3
