model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,seed,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
bipolarization,heterogeneous,21,M18,bipol_dist_speak,true,true,7240713591891685400.0,0,0,0.01,0.3,0.7,0.1,0.005,0.01,0.01,0.0,20,0.00977608125904969,0.03584956875054784,0.00810359670787335,0.00619303493791573,3,3,0.39999999999999997,0.0
bipolarization,homogeneous,13,H7,bipol_ndist_speak,false,true,6905470370856337400.0,0,0,0.05,0.1,0.4,0.2,0.05,0.1,0.1,0.05,45,0.00399529565091067,0.04639532304091942,0.00248028387712356,0.00202437336770607,2,3,0.30000000000000004,0.0
bipolarization,homogeneous,13,H7,bipol_dist_speak,true,true,7240713591891685400.0,0,0,0.05,0.2,0.7,0.05,0.0,0.02,0.0,0.005,25,0.00399529565091067,0.04034580398315318,0.0011852318819686,0.00072363487808705,2,3,0.49999999999999994,0.0
clustering,heterogeneous,16,M12,clst_ndist_speak,false,true,4692690466958798800.0,0,0,0.05,0.3,0.0,0.0,0.05,0.1,0.1,0.05,55,0.01905125747492284,0.03197457442279923,0.00662235863055911,0.00398934872581279,2,2,0.0,0.0
clustering,heterogeneous,30,M28,clst_dist_speak,true,true,7139002048363152400.0,0,0,0.02,0.5,0.0,0.0,0.005,0.0,0.0,0.0,25,0.02593274109975132,0.05346042875903165,0.01975876315666615,0.01093098392686134,3,3,0.0,0.0
bipolarization,heterogeneous,34,M33,bipol_dist_speak,true,true,8636175130330607600.0,0,0,0.1,0.2,0.5,0.1,0.01,0.01,0.03,0.0,30,0.01846828382201646,0.02749883033895179,0.01689917019894784,0.01986641780510936,3,3,0.3,0.0
bipolarization,homogeneous,11,H4,bipol_ndist_speak,false,true,7139002048363152400.0,0,0,0.01,0.3,0.7,0.2,0.05,0.1,0.1,0.05,15,0.00232084297839506,0.05449721162778667,0.00196982281286254,0.00101450355972588,2,2,0.39999999999999997,0.0
bipolarization,homogeneous,12,H5,bipol_ndist_speak,false,true,7139002048363152400.0,0,0,0.02,0.2,0.5,0.2,0.05,0.1,0.1,0.05,20,0.00413376628943758,0.04401774173591334,0.00265102843502381,0.00193219741267683,3,3,0.3,0.0
clustering,heterogeneous,15,M10,clst_dist_nospeak,true,false,7139002048363152400.0,0,0,0.05,0.3,0.0,0.0,0.01,0.01,0.0,0.0,45,0.01932656035665295,0.08042308680765523,0.00026951634894287,0.00016019659525772,1,3,0.0,0.0
clustering,heterogeneous,37,M36,clst_dist_speak,true,true,6905470370856337400.0,0,0,0.05,0.5,0.0,0.0,0.01,0.01,0.0,0.0,35,0.02855030368548523,0.07881761087724044,0.0137119574664491,0.00585274692096015,4,4,0.0,0.0
bipolarization,homogeneous,11,H4,bipol_ndist_nospeak,false,false,6905470370856337400.0,0,0,0.02,0.3,0.7,0.05,0.05,0.1,0.1,0.05,25,0.00232084297839506,0.0547517073986057,0.00079012580725994,0.00032727929215469,2,2,0.39999999999999997,0.0
bipolarization,heterogeneous,37,M36,bipol_ndist_speak,false,true,7240713591891685400.0,0,0,0.02,0.1,0.6,0.2,0.05,0.1,0.1,0.05,15,0.02855030368548523,0.04166666666666653,0.02855030368548523,0.01334445641146547,4,4,0.5,0.0
bipolarization,heterogeneous,41,M7,bipol_ndist_nospeak,false,false,7139002048363152400.0,0,0,0.005,0.1,0.6,0.05,0.05,0.1,0.1,0.05,15,0.03543339668114619,0.05960627898477641,0.03543171530943483,0.02714523137529713,4,4,0.5,0.0
clustering,heterogeneous,37,M36,clst_dist_nospeak,true,false,8636175130330607600.0,0,0,0.005,0.6,0.0,0.0,0.005,0.01,0.0,0.0,90,0.02855030368548523,0.13665683792775515,0.00250939040993877,0.00120953922637246,2,4,0.0,0.0
bipolarization,heterogeneous,19,M15,bipol_dist_nospeak,true,false,7240713591891685400.0,0,0,0.01,0.1,0.7,0.05,0.005,0.01,0.01,0.005,15,0.02458731638660266,0.0416338277850512,0.0243277863061712,0.01642711440579982,5,5,0.6,0.0
consensus,heterogeneous,39,M5,cons_dist_speak,true,true,8636175130330607600.0,0,0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,20,0.03097746746875476,0.05907551295545685,0.02495041689796268,0.01978098206646332,4,4,0.0,0.0
clustering,heterogeneous,15,M10,clst_ndist_speak,false,true,7139002048363152400.0,0,0,0.02,0.5,0.0,0.0,0.05,0.1,0.1,0.05,20,0.01932656035665295,0.04749181934673731,0.01498003347043863,0.01047729661922284,3,3,0.0,0.0
bipolarization,heterogeneous,30,M28,bipol_ndist_speak,false,true,4692690466958798800.0,0,0,0.005,0.3,0.7,0.05,0.05,0.1,0.1,0.05,15,0.02593274109975132,0.04536727939457931,0.02491714102075181,0.01442964538713706,3,3,0.39999999999999997,0.0
bipolarization,homogeneous,2,H12,bipol_ndist_nospeak,false,false,7240713591891685400.0,0,0,0.01,0.2,0.7,0.05,0.05,0.1,0.1,0.05,55,0.00771504468878602,0.02222961925226655,0.00214094742203362,0.00161088491523031,2,3,0.49999999999999994,0.0
bipolarization,homogeneous,13,H7,bipol_dist_speak,true,true,4692690466958798800.0,0,0,0.05,0.2,0.7,0.05,0.0,0.02,0.0,0.005,25,0.00399529565091067,0.03804051814418108,0.00117330536963395,0.00074430498336619,2,3,0.49999999999999994,0.0
consensus,homogeneous,12,H5,cons_dist_speak,true,true,6905470370856337400.0,0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.00413376628943758,0.05223996055933633,0.00219180744912941,0.00160180658989421,2,3,0.0,0.0
