model_type,current_condition,selected_debate_id,debate_label,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,use_distinct_agents,experiment_id
consensus,heterogeneous,12,M13,74,0,3,3,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.34722222222222227,0.03278937715525453,0.5691469602597907,0.7222222222222218,0.4583333333333333,1.0,0.944444444444445,0.6111111111111116,0.3692129629629625,0.7472222222222225,0.22192473803756846,0.1999339972968282,0.15307526196243104,0.11081362692645741,0.4308530397402093,0.37529748418465425,0.04196415085132088,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6608716742342101000.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,69,1,3,3,0.8888888888888884,0.7083333333333334,0.25,0.7777777777777782,0.0,0.7280092592592592,0.03278937715525453,0.5434848617629078,0.9166666666666666,0.7916666666666666,0.2916666666666667,0.7222222222222218,0.0,0.7581018518518516,0.5444444444444444,-0.1845243974963514,0.21461699008894386,0.37318180490375885,0.24818180490375885,0.2518181950962411,0.178737360459314,0.5434848617629078,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6855216513658910700.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,70,1,3,3,0.8611111111111116,1.0,0.16666666666666666,0.27777777777777835,0.16666666666666666,0.8634259259259259,0.03278937715525453,0.5452862818713952,1.0,1.0,0.08333333333333333,0.16666666666666666,0.0,0.9583333333333334,0.45,-0.31813964405453077,0.4130470514619382,0.45471371812860484,0.45471371812860484,0.46195294853806185,0.37861961520472853,0.5452862818713952,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6855216513658910700.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,71,1,3,3,0.6666666666666666,0.625,0.625,0.5,0.3333333333333333,0.5798611111111112,0.03278937715525453,0.5415140773707164,0.694444444444445,0.75,0.6666666666666666,0.5,0.3333333333333333,0.6111111111111108,0.588888888888889,-0.03834703374039472,0.06959703374039439,0.15293036707372853,0.20848592262928356,0.1251525892959502,0.04151407737071644,0.20818074403738313,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6855216513658910700.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,72,0,3,3,0.555555555555555,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.5,0.4305555555555554,0.03278937715525453,0.5395278962254613,0.6666666666666666,0.5,0.625,0.944444444444445,0.38888888888888834,0.46527777777777773,0.625,0.10897234066990585,0.07425011844768353,0.12713877044120536,0.03952789622546127,0.08547210377453873,0.4049165482189837,0.15063900733657293,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6855216513658910700.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,73,0,3,3,0.6111111111111116,0.625,0.7083333333333334,1.0,0.5,0.4409722222222223,0.03278937715525453,0.5396664670030371,0.6666666666666666,0.7083333333333334,0.625,1.0,0.5,0.4895833333333333,0.7,0.09869424478081479,0.05008313366970379,0.12700019966362952,0.16866686633029626,0.08533353299696289,0.4603335329969629,0.03966646700303711,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6855216513658910700.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,74,0,3,3,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.34722222222222227,0.03278937715525453,0.5384193300048536,0.7222222222222218,0.4583333333333333,1.0,0.944444444444445,0.6111111111111116,0.3692129629629625,0.7472222222222225,0.19119710778263138,0.16920636704189113,0.18380289221736812,0.08008599667152033,0.46158066999514635,0.40602511443959133,0.07269178110625796,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6855216513658910700.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,69,1,3,3,0.8888888888888884,0.7083333333333334,0.25,0.7777777777777782,0.0,0.7280092592592592,0.03278937715525453,0.5592504458241031,0.9166666666666666,0.7916666666666666,0.2916666666666667,0.7222222222222218,0.0,0.7581018518518516,0.5444444444444444,-0.16875881343515609,0.19885140602774853,0.3574162208425635,0.23241622084256353,0.2675837791574364,0.16297177639811866,0.5592504458241031,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3628563673615470600.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,70,1,3,3,0.8611111111111116,1.0,0.16666666666666666,0.27777777777777835,0.16666666666666666,0.8634259259259259,0.03278937715525453,0.5610518659325904,1.0,1.0,0.08333333333333333,0.16666666666666666,0.0,0.9583333333333334,0.45,-0.30237405999333555,0.397281467400743,0.4389481340674096,0.4389481340674096,0.47771853259925706,0.39438519926592375,0.5610518659325904,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3628563673615470600.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,71,1,3,3,0.6666666666666666,0.625,0.625,0.5,0.3333333333333333,0.5798611111111112,0.03278937715525453,0.5572796614319118,0.694444444444445,0.75,0.6666666666666666,0.5,0.3333333333333333,0.6111111111111108,0.588888888888889,-0.02258144967919939,0.05383144967919906,0.1371647830125332,0.19272033856808823,0.10938700523475486,0.05727966143191177,0.22394632809857845,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3628563673615470600.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,72,0,3,3,0.555555555555555,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.5,0.4305555555555554,0.03278937715525453,0.5552934802866565,0.6666666666666666,0.5,0.625,0.944444444444445,0.38888888888888834,0.46527777777777773,0.625,0.12473792473110107,0.09001570250887875,0.11137318638001015,0.05529348028665648,0.06970651971334352,0.3891509641577885,0.16640459139776814,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3628563673615470600.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,73,0,3,3,0.6111111111111116,0.625,0.7083333333333334,1.0,0.5,0.4409722222222223,0.03278937715525453,0.5554320510642324,0.6666666666666666,0.7083333333333334,0.625,1.0,0.5,0.4895833333333333,0.7,0.11445982884201011,0.06584871773089912,0.1112346156024342,0.15290128226910094,0.06956794893576757,0.44456794893576757,0.05543205106423243,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3628563673615470600.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,74,0,3,3,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.34722222222222227,0.03278937715525453,0.554184914066049,0.7222222222222218,0.4583333333333333,1.0,0.944444444444445,0.6111111111111116,0.3692129629629625,0.7472222222222225,0.2069626918438267,0.18497195110308645,0.1680373081561728,0.09585158073271566,0.445815085933951,0.390259530378396,0.05692619704506263,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3628563673615470600.0,40,false,cons_ndist_speak
consensus,heterogeneous,12,M13,69,1,3,3,0.8888888888888884,0.7083333333333334,0.25,0.7777777777777782,0.0,0.7280092592592592,0.03278937715525453,0.6156418623450756,0.9166666666666666,0.7916666666666666,0.2916666666666667,0.7222222222222218,0.0,0.7581018518518516,0.5444444444444444,-0.11236739691418363,0.14245998950677607,0.30102480432159107,0.17602480432159107,0.3239751956784089,0.1065803598771462,0.6156418623450756,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7474960677955715100.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,70,1,3,3,0.8611111111111116,1.0,0.16666666666666666,0.27777777777777835,0.16666666666666666,0.8634259259259259,0.03278937715525453,0.6186925831167862,1.0,1.0,0.08333333333333333,0.16666666666666666,0.0,0.9583333333333334,0.45,-0.24473334280913972,0.33964075021654716,0.3813074168832138,0.3813074168832138,0.5353592497834528,0.4520259164501196,0.6186925831167862,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7474960677955715100.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,71,1,3,3,0.6666666666666666,0.625,0.625,0.5,0.3333333333333333,0.5798611111111112,0.03278937715525453,0.6123043216717514,0.694444444444445,0.75,0.6666666666666666,0.5,0.3333333333333333,0.6111111111111108,0.588888888888889,0.03244321056064026,0.00119321056064059,0.08214012277269356,0.13769567832824858,0.05436234499491521,0.11230432167175142,0.2789709883384181,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7474960677955715100.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,72,0,3,3,0.555555555555555,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.5,0.4305555555555554,0.03278937715525453,0.6089407064619167,0.6666666666666666,0.5,0.625,0.944444444444445,0.38888888888888834,0.46527777777777773,0.625,0.17838515090636126,0.14366292868413894,0.05772596020474996,0.10894070646191667,0.01605929353808333,0.3355037379825283,0.22005181757302833,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7474960677955715100.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,73,0,3,3,0.6111111111111116,0.625,0.7083333333333334,1.0,0.5,0.4409722222222223,0.03278937715525453,0.6091753772905097,0.6666666666666666,0.7083333333333334,0.625,1.0,0.5,0.4895833333333333,0.7,0.16820315506828742,0.11959204395717643,0.05749128937615688,0.09915795604282363,0.01582462270949025,0.39082462270949025,0.10917537729050975,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7474960677955715100.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,74,0,3,3,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.34722222222222227,0.03278937715525453,0.6070633398331718,0.7222222222222218,0.4583333333333333,1.0,0.944444444444445,0.6111111111111116,0.3692129629629625,0.7472222222222225,0.2598411176109496,0.23785037687020932,0.11515888238904992,0.14873000649983853,0.39293666016682816,0.33738110461127313,0.00404777127793976,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7474960677955715100.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,69,1,3,3,0.8888888888888884,0.7083333333333334,0.25,0.7777777777777782,0.0,0.7280092592592592,0.03278937715525453,0.5747990385279591,0.9166666666666666,0.7916666666666666,0.2916666666666667,0.7222222222222218,0.0,0.7581018518518516,0.5444444444444444,-0.15321022073130008,0.18330281332389253,0.3418676281387075,0.21686762813870752,0.2831323718612924,0.14742318369426266,0.5747990385279591,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7489393669984268300.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,70,1,3,3,0.8611111111111116,1.0,0.16666666666666666,0.27777777777777835,0.16666666666666666,0.8634259259259259,0.03278937715525453,0.5778497592996699,1.0,1.0,0.08333333333333333,0.16666666666666666,0.0,0.9583333333333334,0.45,-0.28557616662625607,0.3804835740336635,0.42215024070033014,0.42215024070033014,0.49451642596633655,0.41118309263300323,0.5778497592996699,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7489393669984268300.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,71,1,3,3,0.6666666666666666,0.625,0.625,0.5,0.3333333333333333,0.5798611111111112,0.03278937715525453,0.571461497854635,0.694444444444445,0.75,0.6666666666666666,0.5,0.3333333333333333,0.6111111111111108,0.588888888888889,-0.0083996132564762,0.03964961325647587,0.12298294658981002,0.17853850214536504,0.09520516881203167,0.07146149785463496,0.23812816452130164,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7489393669984268300.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,72,0,3,3,0.555555555555555,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.5,0.4305555555555554,0.03278937715525453,0.5680978826448001,0.6666666666666666,0.5,0.625,0.944444444444445,0.38888888888888834,0.46527777777777773,0.625,0.1375423270892447,0.10282010486702237,0.09856878402186653,0.0680978826448001,0.0569021173551999,0.3763465617996449,0.17920899375591176,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7489393669984268300.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,73,0,3,3,0.6111111111111116,0.625,0.7083333333333334,1.0,0.5,0.4409722222222223,0.03278937715525453,0.5683325534733934,0.6666666666666666,0.7083333333333334,0.625,1.0,0.5,0.4895833333333333,0.7,0.12736033125117108,0.07874922014006008,0.09833411319327323,0.14000077985993997,0.0566674465266066,0.4316674465266066,0.0683325534733934,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7489393669984268300.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,74,0,3,3,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.34722222222222227,0.03278937715525453,0.5662205160160553,0.7222222222222218,0.4583333333333333,1.0,0.944444444444445,0.6111111111111116,0.3692129629629625,0.7472222222222225,0.218998293793833,0.19700755305309275,0.1560017062061665,0.10788718268272196,0.4337794839839447,0.3782239284283897,0.04489059509505633,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7489393669984268300.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,69,1,3,3,0.8888888888888884,0.7083333333333334,0.25,0.7777777777777782,0.0,0.7280092592592592,0.03278937715525453,0.5456270716613295,0.9166666666666666,0.7916666666666666,0.2916666666666667,0.7222222222222218,0.0,0.7581018518518516,0.5444444444444444,-0.18238218759792968,0.21247478019052213,0.3710395950053371,0.24603959500533712,0.2539604049946628,0.17659515056089226,0.5456270716613295,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2088060328115892220.0,35,false,cons_ndist_speak
consensus,heterogeneous,12,M13,70,1,3,3,0.8611111111111116,1.0,0.16666666666666666,0.27777777777777835,0.16666666666666666,0.8634259259259259,0.03278937715525453,0.54867779243304,1.0,1.0,0.08333333333333333,0.16666666666666666,0.0,0.9583333333333334,0.45,-0.3147481334928859,0.4096555409002933,0.45132220756695995,0.45132220756695995,0.46534445909970673,0.3820111257663734,0.54867779243304,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2088060328115892220.0,35,false,cons_ndist_speak
