model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,pro_count,seed,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,28,M18,cons_ndist_speak,false,true,0,6905470370856337400.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.00977608125904969,0.099841460064492,0.00000083165701751,0.00000063206401832,1,3,0.0,0.0
clustering,heterogeneous,12,M13,clst_dist_nospeak,true,false,0,4692690466958798800.0,0,0.3,0.3,0.0,0.0,0.05,0.3,0.0,0.0,15,0.03278937715525453,0.1666768252756862,0.00001557182526869,0.00000047159553788,1,5,0.0,0.0
consensus,heterogeneous,15,M20,cons_dist_speak,true,true,0,7240713591891685400.0,0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,35,0.01619926630551272,0.1545920273703114,0.0000282541541103,0.00000516029444978,1,3,0.0,0.0
consensus,heterogeneous,12,M13,cons_dist_nospeak,true,false,0,7139002048363152400.0,0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,35,0.03278937715525453,0.18368684696111495,0.00005289402064249,0.0000193657315286,1,5,0.0,0.0
clustering,homogeneous,17,H7,clst_dist_nospeak,true,false,0,7240713591891685400.0,0,0.3,0.5,0.0,0.0,0.2,0.2,0.0,0.0,30,0.00399529565091067,0.05818913351585051,0.00017128993324435,0.00017920950089286,2,3,0.0,0.0
consensus,heterogeneous,43,M36,cons_ndist_speak,false,true,0,6905470370856337400.0,0,0.1,0.0,0.0,0.0,0.05,0.1,0.1,0.05,65,0.02855030368548523,0.17568080518482546,0.00005468781568988,0.00001530441682873,2,4,0.0,0.0
no_change,heterogeneous,20,M26,no_change_exp,false,false,0,6905470370856337400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.04088593575853047,0.031828703703704,0.04088593575853047,0.02719166910770077,3,3,0.0,0.0
no_change,heterogeneous,35,M33,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01846828382201646,0.02343749999999999,0.01846828382201646,0.01452519504458163,3,3,0.0,0.0
consensus,heterogeneous,12,M13,cons_ndist_nospeak,false,false,0,6905470370856337400.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.03278937715525453,0.16526025994861845,0.00000531263431636,0.00000367396353536,1,5,0.0,0.0
consensus,heterogeneous,9,M9,cons_dist_speak,true,true,0,7240713591891685400.0,0,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,30,0.01965549714934841,0.10832294223973923,0.0000014476773305,0.00000078842004874,1,3,0.0,0.0
