model_type,current_condition,selected_debate_id,debate_label,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,use_distinct_agents,current_experiment_id,speaking_mode
bipolarization,homogeneous,41,H20,257,0,0,0,0.6111111111111116,0.625,0.5833333333333334,0.944444444444445,0.555555555555555,0.46180555555555564,0.00048024369855967,0.4149145903410735,0.694444444444445,0.6666666666666666,0.7083333333333334,0.944444444444445,0.27777777777777835,0.5185185185185185,0.6583333333333338,-0.04689096521448216,0.10360392817744501,0.2795298541033715,0.25175207632559315,0.2934187429922599,0.5295298541033715,0.13713681256329513,0.5,0.4,0.5,0.3,0.5,0.4,0.5,0.3,109591146466576384.0,15,false,nil,true
bipolarization,heterogeneous,9,M9,52,1,0,0,0.8611111111111116,0.7083333333333334,0.0,0.7777777777777782,0.0,0.7627314814814815,0.01965549714934841,0.7402027327820738,0.8611111111111116,0.75,0.125,0.7777777777777782,0.0,0.752314814814815,0.502777777777778,-0.02252874869940769,0.01211208203274117,0.12090837832903778,0.00979726721792618,0.6152027327820738,0.03757504499570441,0.7402027327820738,0.05,0.1,0.5,0.1,0.05,0.1,0.5,0.1,6905470370856337400.0,45,false,nil,true
bipolarization,homogeneous,41,H20,258,0,0,0,0.5833333333333334,0.4583333333333333,1.0,1.0,0.0,0.4270833333333333,0.00048024369855967,0.4149140605220088,0.4166666666666667,0.7083333333333334,0.8333333333333334,1.0,0.0,0.4756944444444444,0.5916666666666667,-0.01216927281132452,0.06078038392243562,0.00175260614465789,0.29341927281132457,0.41841927281132457,0.5850859394779913,0.4149140605220088,0.5,0.4,0.5,0.3,0.5,0.4,0.5,0.3,109591146466576384.0,15,false,nil,true
bipolarization,homogeneous,41,H20,259,0,0,0,0.4166666666666667,0.6666666666666666,0.5,0.944444444444445,0.7777777777777782,0.4004629629629628,0.00048024369855967,0.4149136543273926,0.5833333333333334,0.625,0.20833333333333334,0.7777777777777782,0.6666666666666666,0.5266203703703703,0.5722222222222223,0.01445069136442978,0.11170671604297777,0.1684196790059408,0.21008634567260742,0.20658032099405924,0.36286412345038566,0.25175301233927405,0.5,0.4,0.5,0.3,0.5,0.4,0.5,0.3,109591146466576384.0,15,false,nil,true
bipolarization,heterogeneous,9,M9,53,0,0,0,0.5833333333333334,0.7083333333333334,0.5833333333333334,1.0,0.5,0.4756944444444444,0.01965549714934841,0.4607273961373893,0.6111111111111116,0.9583333333333334,0.5,1.0,0.555555555555555,0.5497685185185186,0.725,-0.01496704830705514,0.08904112238112932,0.15038371497372233,0.4976059371959441,0.03927260386261072,0.5392726038626108,0.09482815941816575,0.05,0.1,0.5,0.1,0.05,0.1,0.5,0.1,6905470370856337400.0,45,false,nil,true
bipolarization,heterogeneous,9,M9,54,0,0,0,0.5833333333333334,0.625,0.6666666666666666,0.8888888888888884,0.6666666666666666,0.4317129629629631,0.01965549714934841,0.4449606541796062,0.5833333333333334,0.625,0.5833333333333334,0.7222222222222218,0.5,0.5011574074074074,0.6027777777777777,0.0132476912166431,0.05619675322780127,0.1383726791537272,0.18003934582039383,0.1383726791537272,0.2772615680426156,0.05503934582039383,0.05,0.1,0.5,0.1,0.05,0.1,0.5,0.1,6905470370856337400.0,45,false,nil,true
bipolarization,homogeneous,41,H20,260,0,0,0,0.44444444444444503,0.75,0.5833333333333334,0.8888888888888884,0.7777777777777782,0.4236111111111113,0.00048024369855967,0.4149140075401023,0.47222222222222165,0.7916666666666666,0.7083333333333334,0.944444444444445,0.8333333333333334,0.40162037037037,0.7500000000000001,-0.008697103571009,0.01329363716973231,0.05730821468211933,0.3767526591265643,0.29341932579323105,0.5295304369043426,0.41841932579323105,0.5,0.4,0.5,0.3,0.5,0.4,0.5,0.3,109591146466576384.0,15,false,nil,true
bipolarization,heterogeneous,3,M4,16,1,0,0,0.9166666666666666,0.8333333333333334,0.2916666666666667,0.8333333333333334,0.05555555555555499,0.7407407407407408,0.0361340032483615,0.5295978620372731,0.9166666666666666,0.7083333333333334,0.25,0.7222222222222218,0.05555555555555499,0.7349537037037033,0.5305555555555553,-0.2111428787034677,0.20535584166643017,0.3870688046293935,0.17873547129606027,0.2795978620372731,0.19262436018494866,0.47404230648171813,0.5,0.3212185835013789,0.6990147419551306,0.37897495230312916,0.5,0.1,0.5,0.1,4692690466958798800.0,15,true,nil,false
bipolarization,heterogeneous,3,M4,17,1,0,0,0.5,0.7083333333333334,0.16666666666666666,0.7777777777777782,0.3333333333333333,0.5891203703703703,0.0361340032483615,0.5295968713842658,0.5833333333333334,0.6666666666666666,0.16666666666666666,0.7222222222222218,0.11111111111111167,0.6458333333333334,0.45,-0.05952349898610454,0.11623646194906756,0.05373646194906756,0.13706979528240082,0.3629302047175992,0.19262535083795596,0.41848576027315415,0.5,0.07525596400942172,0.99,0.05225150935181025,0.5,0.1,0.5,0.1,4692690466958798800.0,15,true,nil,false
bipolarization,heterogeneous,3,M4,18,1,0,0,0.8888888888888884,1.0,0.0,0.0,0.0,0.972222222222222,0.0361340032483615,1.0,1.0,1.0,0.0,0.05555555555555499,0.0,0.9907407407407408,0.411111111111111,0.02777777777777801,0.00925925925925919,0.0,0.0,1.0,0.944444444444445,1.0,0.5,0.01,0.334668059132191,0.0893462232206393,0.5,0.1,0.5,0.1,4692690466958798800.0,15,true,nil,false
