model_type,current_condition,selected_debate_id,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle
consensus,heterogeneous,51,248,1,3,3,0.8888888888888884,0.875,0.4166666666666667,0.8888888888888884,0.0,0.7233796296296297,0.5575668846662506,0.8888888888888884,0.9166666666666666,0.20833333333333334,0.8333333333333334,0.0,0.7777777777777776,0.5694444444444444,-0.16581274496337906,0.22021089311152697,0.3313220042226378,0.35909978200041603,0.3492335513329172,0.2757664486670828,0.5575668846662506,0.8104404181991616,0.5752559640094217,0.8318519132591666,0.05225150935181025,0.5,0.6,0.5,0.1,4200730711560847400.0,15
consensus,heterogeneous,51,247,1,3,3,0.805555555555555,0.9166666666666666,0.2916666666666667,0.8333333333333334,0.22222222222222165,0.7060185185185185,0.5091033320621999,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.27777777777777835,0.7175925925925926,0.6555555555555557,-0.19691518645631856,0.20848926053039263,0.4075633346044667,0.4075633346044667,0.17576999872886662,0.32423000127113344,0.2313255542844216,0.5029684412709559,0.8212185835013789,0.6326764946367538,0.37897495230312916,0.5,0.6,0.5,0.1,3407647030800275500.0,15
consensus,heterogeneous,51,247,1,3,3,0.805555555555555,0.9166666666666666,0.2916666666666667,0.8333333333333334,0.22222222222222165,0.7060185185185185,0.4997028113352456,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.27777777777777835,0.7175925925925926,0.6555555555555557,-0.2063157071832729,0.21788978125734698,0.41696385533142105,0.41696385533142105,0.16636947800191226,0.3336305219980878,0.22192503355746723,0.5029684412709559,0.8212185835013789,0.6326764946367538,0.37897495230312916,0.5,0.6,0.5,0.1,8803618445054126100.0,15
consensus,heterogeneous,51,247,1,3,3,0.805555555555555,0.9166666666666666,0.2916666666666667,0.8333333333333334,0.22222222222222165,0.7060185185185185,0.5308236097193468,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.27777777777777835,0.7175925925925926,0.6555555555555557,-0.17519490879917166,0.18676898287324573,0.3858430569473198,0.3858430569473198,0.19749027638601352,0.30250972361398654,0.2530458319415685,0.5029684412709559,0.8212185835013789,0.6326764946367538,0.37897495230312916,0.5,0.6,0.5,0.1,997606725876738050.0,15
consensus,heterogeneous,51,247,1,3,3,0.805555555555555,0.9166666666666666,0.2916666666666667,0.8333333333333334,0.22222222222222165,0.7060185185185185,0.5456719903487761,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.27777777777777835,0.7175925925925926,0.6555555555555557,-0.16034652816974237,0.17192060224381644,0.3709946763178905,0.3709946763178905,0.2123386570154428,0.28766134298455726,0.26789421257099777,0.5029684412709559,0.8212185835013789,0.6326764946367538,0.37897495230312916,0.5,0.6,0.5,0.1,1831297316135118850.0,15
consensus,heterogeneous,51,247,1,3,3,0.805555555555555,0.9166666666666666,0.2916666666666667,0.8333333333333334,0.22222222222222165,0.7060185185185185,0.532769186737165,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.27777777777777835,0.7175925925925926,0.6555555555555557,-0.1732493317813535,0.18482340585542756,0.38389747992950163,0.38389747992950163,0.1994358534038317,0.30056414659616837,0.25499140895938666,0.5029684412709559,0.8212185835013789,0.6326764946367538,0.37897495230312916,0.5,0.6,0.5,0.1,4490502852978390000.0,15
consensus,heterogeneous,51,249,1,3,3,0.694444444444445,0.9166666666666666,0.20833333333333334,0.6666666666666666,0.38888888888888834,0.6921296296296298,0.5516160313485932,0.6388888888888884,1.0,0.20833333333333334,0.5,0.6111111111111116,0.689814814814815,0.5916666666666666,-0.1405135982810366,0.13819878346622183,0.08727285754029523,0.44838396865140684,0.3432826980152598,0.05161603134859316,0.05949507976251844,0.4236494748948889,0.5042545933905637,0.3897787060881273,0.0893462232206393,0.5,0.6,0.5,0.1,4342572612484808700.0,15
consensus,heterogeneous,51,249,1,3,3,0.694444444444445,0.9166666666666666,0.20833333333333334,0.6666666666666666,0.38888888888888834,0.6921296296296298,0.5639421492992218,0.6388888888888884,1.0,0.20833333333333334,0.5,0.6111111111111116,0.689814814814815,0.5916666666666666,-0.12818748033040794,0.12587266551559317,0.07494673958966658,0.4360578507007782,0.35560881596588845,0.06394214929922182,0.04716896181188979,0.4236494748948889,0.5042545933905637,0.3897787060881273,0.0893462232206393,0.5,0.6,0.5,0.1,4200730711560847400.0,15
consensus,heterogeneous,51,248,1,3,3,0.8888888888888884,0.875,0.4166666666666667,0.8888888888888884,0.0,0.7233796296296297,0.5337755320425633,0.8888888888888884,0.9166666666666666,0.20833333333333334,0.8333333333333334,0.0,0.7777777777777776,0.5694444444444444,-0.1896040975870663,0.24400224573521423,0.35511335684632506,0.3828911346241033,0.32544219870922997,0.29955780129077003,0.5337755320425633,0.8104404181991616,0.5752559640094217,0.8318519132591666,0.05225150935181025,0.5,0.6,0.5,0.1,3407647030800275500.0,15
consensus,heterogeneous,51,247,1,3,3,0.805555555555555,0.9166666666666666,0.2916666666666667,0.8333333333333334,0.22222222222222165,0.7060185185185185,0.5342349502239753,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.27777777777777835,0.7175925925925926,0.6555555555555557,-0.17178356829454322,0.1833576423686173,0.38243171644269136,0.38243171644269136,0.20090161689064195,0.2990983831093581,0.2564571724461969,0.5029684412709559,0.8212185835013789,0.6326764946367538,0.37897495230312916,0.5,0.6,0.5,0.1,115109577693645824.0,15
consensus,heterogeneous,51,247,1,3,3,0.805555555555555,0.9166666666666666,0.2916666666666667,0.8333333333333334,0.22222222222222165,0.7060185185185185,0.5282086042538905,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.27777777777777835,0.7175925925925926,0.6555555555555557,-0.177809914264628,0.18938398833870207,0.38845806241277614,0.38845806241277614,0.19487527092055718,0.3051247290794429,0.25043082647611214,0.5029684412709559,0.8212185835013789,0.6326764946367538,0.37897495230312916,0.5,0.6,0.5,0.1,4910962305337055200.0,15
consensus,heterogeneous,51,247,1,3,3,0.805555555555555,0.9166666666666666,0.2916666666666667,0.8333333333333334,0.22222222222222165,0.7060185185185185,0.5223507844885691,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.27777777777777835,0.7175925925925926,0.6555555555555557,-0.1836677340299494,0.19524180810402347,0.39431588217809754,0.39431588217809754,0.18901745115523577,0.3109825488447643,0.24457300671079074,0.5029684412709559,0.8212185835013789,0.6326764946367538,0.37897495230312916,0.5,0.6,0.5,0.1,7043372089166577700.0,15
consensus,heterogeneous,51,249,1,3,3,0.694444444444445,0.9166666666666666,0.20833333333333334,0.6666666666666666,0.38888888888888834,0.6921296296296298,0.5300579546124684,0.6388888888888884,1.0,0.20833333333333334,0.5,0.6111111111111116,0.689814814814815,0.5916666666666666,-0.16207167501716135,0.15975686020234658,0.10883093427641999,0.4699420453875316,0.32172462127913504,0.03005795461246841,0.0810531564986432,0.4236494748948889,0.5042545933905637,0.3897787060881273,0.0893462232206393,0.5,0.6,0.5,0.1,3407647030800275500.0,15
consensus,heterogeneous,51,248,1,3,3,0.8888888888888884,0.875,0.4166666666666667,0.8888888888888884,0.0,0.7233796296296297,0.5374700636190843,0.8888888888888884,0.9166666666666666,0.20833333333333334,0.8333333333333334,0.0,0.7777777777777776,0.5694444444444444,-0.1859095660105453,0.24030771415869323,0.35141882526980406,0.3791966030475823,0.32913673028575097,0.29586326971424903,0.5374700636190843,0.8104404181991616,0.5752559640094217,0.8318519132591666,0.05225150935181025,0.5,0.6,0.5,0.1,1831297316135118850.0,15
